岩館,電話,地址,抱石,上攀,速度攀,平日票,假日票,星光票,時票,岩粉,岩鞋,吊帶,平日時間,假日時間,離峰票,早鳥10-13,下午12-18,晚上17/18-23,兩小時票,備註
double 8-Y17岩究所,(02)23514078,台北市中正區仁愛路一段17號9 樓,0,1,0,250,280,n.a.,n.a.,,,0,13:00-21:00,10:00-19:00,0,0,0,0,0,
原岩攀岩館-南港店 T-UP Climbing Gym-n.a.ngang,(02)2651-9555,台北市南港區南港路二段147號,1,0,0,380,400,250,n.a.,,100,0,12:00-23:00,9:00-21:00,0,0,300,350,0,
原岩攀岩館-萬華店 T-UP Climbing Gym-Wanhua,(02)23088250,台北市萬華區大理街149號,1,0,0,380,400,250,n.a.,,100,0,10:00-23:00,9:00-21:00,0,250,300,350,0,
原岩攀岩館-中和店 T-UP Climbing Zhonghe,(02)82282555,新北市中和區立言街41號,0,1,0,420,450,260,n.a.,,100,100,12:00-23:00,9:00-22:00,0,0,320,360,0,
永和攀岩場 (趣攀岩) TitoRock-Climbing,905657107,新北市永和區永利路250號6樓,1,1,1,200,250,n.a.,尖峰（平日晚上、假日下午及晚上）＄80/hr、離峰（平日下午、假日早上）＄50/hr,,100,0,13:00-22:00,09:00-22:00,0,0,0,0,0,
Up聯盟 文山攀岩館,(02)22308268,台北市文山區興隆路三段222號6F,0,1,0,n.a.,n.a.,n.a.,100元 / 30分鐘-抱石體驗，300元 / 30分鐘 - 單人攀爬(同伴拉繩)，400元 / 30分鐘 - 單人攀岩(教練拉繩),,,0,n.a.,n.a.,0,0,0,0,0,
MegaSTONE Climbing Gym,(02)89928991,新北市新莊區中正路56巷5號,1,0,0,300,330,200,n.a.,,80,0,14:30-22:30,10:00-20:00,0,0,0,0,0,
POGO 攀岩館,(02)29082928,新北市新莊區建國一路122號1樓,1,0,0,300,300,200,n.a.,,80,0,13:00-23:00,10:00-20:00,0,0,0,0,200,
WUSA攀岩館-新莊館,0935-026-776,新北市新莊區公園路11號2樓,1,1,0,n.a.,n.a.,n.a.,離峰 09:00-12:00 $ 45/hr、尖峰 13:00-18:00 $ 75/hr,,80,0,n.a.,09:00-18:00,0,0,0,0,0,課程預約型
WUSA攀岩館-新莊館,(02)89720079#502,新北市三重區集美街55號5F,1,1,0,n.a.,n.a.,n.a.,尖峰（下午、晚上）$ 150、離峰（早上）$100,,80,0,週二至週六 18:00-22:00,週日09:00-18:00,100,0,0,0,0,課程預約型
Passion climbing 爬森攀岩館,(03)3578966,桃園市桃園區新埔七街139-1號,1,1,0,320,350,200,n.a.,,100,80,14:00-22:00,10:00-20:00,0,0,250,0,0,
蕃薯藤攀岩場,(03)4521328,桃園市中壢區東園二路16號,1,1,1,n.a.,n.a.,n.a.,n.a.,,0,0,週二及週四 20:00-22:00,,0,0,0,0,0,
原岩攀岩館-楊梅店 T-UP Climbing Gym-Yangmei,(03)4788698,桃園市楊梅區梅高路99巷20號,1,0,0,320,380,250,n.a.,,100,0,15:00-23:00,9:00-20:00,0,0,0,0,0,
千手抱石,(03)3702870,桃園市桃園區龍壽街162號2樓,1,0,0,300,300,200,n.a.,,100,0,14:00-22:00 ,週六 10:00-21:00、週日 10:00-19:00,250,0,0,0,0,
原岩攀岩館-A19店,(03)2876850,桃園市中壢區高鐵南路二段352號,1,1,0,450,450,250,n.a.,,100,100,11:00-23:00,11:00-23:00,0,0,350,350,250,
水美攀岩館,(03)4814662,桃園市楊梅區民富路一段53號,1,1,0,150,150,n.a.,n.a.,,100,100,預約制,n.a.,0,0,0,0,0,
桃園國民運動中心攀岩館,(03)3395877,桃園市桃園區中山東路233號,0,1,0,n.a.,n.a.,n.a.,80/hr,,,0,n.a.,13:00-17:00,0,0,0,0,0,課程預約型
iClimb風城攀岩館,(03)6588588,新竹縣竹北市成功二街98號,1,1,0,320,320,n.a.,n.a.,,100,80,10:00-22:30,09:00-21:00,0,0,0,0,0,
RedRock紅石攀岩(新竹紅石),(03)6686635,新竹市東區光復路一段75號B1,1,0,0,250,250,n.a.,n.a.,,100,0,13:30-23:00,週六  09:00-21:00,0,0,0,0,0,
B-plus攀岩館,933324381,台中市西屯區環中路二段982-1號,1,0,0,250,250,n.a.,n.a.,,50,0,週二至週五 18:00-23:00 ,週六 13:00-21:00、週日 13:00-19:00,0,0,0,0,0,
TheDepotCityBoulderingGym,901321595,台中市北屯區敦平二街17號,1,0,0,300,300,n.a.,n.a.,,100,0,18:00-23:00,13:00-20:00,0,0,0,0,0,採會員制（入會費＄300）
攀吶攀岩館,975701883,台中市東區進化路90-1號,1,0,0,250,250,n.a.,n.a.,,50,0,週一至週二 18:00-23:00、週三至週五 14:00-23:00,週六 11:00-23:00、週日 11:00-20:00,0,0,0,0,0,
Dapro indoor climbing 室內攀岩場,(04)23807490,台中市南屯區永春東七路700號,1,1,1,450,450,380,n.a.,,100,100,13:00-23:00,10:00-20:00,0,0,0,0,0,採會員制（入會費＄300）
破舊二廠 bouldering gym,968298876,台中市烏日區健行路131號,1,0,0,220,220,n.a.,n.a.,,,0,17:30-22:00 ,13:00-21:00,0,0,0,0,0,
破舊工廠 Shabby Factory,(04)8334106,彰化縣員林市新義街104號,1,1,0,280,280,n.a.,n.a.,,,0,14:00-22:00 ,週六 09:30-22:00、週日 09:30-18:00,0,0,0,0,0,
嗨翻綜合體能館,(06)2590660,台南市北區大和路121號,1,0,0,300,300,n.a.,n.a.,,80,0,週二至週五 14:00-22:00,10:00-18:00,0,0,0,0,0,
抱石基地,0910 439 361,高雄市左營區重信路24巷11號,1,0,0,280,280,200,n.a.,,80,0,週一至週二 13:00-22:30、週四至週五 13:00-22:30,10:00-20:00,0,0,0,0,0,
Boulder Space圓石空間攀岩場,(07)383 0150,高雄市三民區昌裕街94巷11號,1,0,0,280,280,200,n.a.,,80,0,14:00-23:00,10:00-19:00,0,0,0,0,0,
K2攀岩休閒館,(07)6439808,高雄市林園區台25線139號,1,1,0,n.a.,n.a.,n.a.,n.a.,,,0,"11:00-14:30, 17:00-21:00",,0,0,0,0,0,
艾思博攀岩俱樂部,(07)3506507,高雄市左營區博愛四路3號,1,1,0,400,400,n.a.,n.a.,,80,0,13:00-22:00,11:00-22:00,0,0,0,0,0,
禾匠體驗學習攀岩場,910558286,台東縣台東市中興路四段434號,1,0,0,n.a.,n.a.,n.a.,150/2hr，續約100/2hr,,,0,10:00-21:00（預約制）,10:00-21:00（預約制）,0,0,0,0,0,
崩岩館站前店-本館Bonus Bouldering GYM (Home Base),966475655,花蓮縣花蓮市國民一街38號,1,0,0,250,250,n.a.,n.a.,,50,0,預約制,n.a.,0,0,0,0,0,
崩岩館民治店-教學館 Bonus Bouldering Gym Education & Training Center,(03)8522762,花蓮縣吉安鄉民治路242號,1,1,0,250,250,n.a.,n.a.,,50,50,週二至週五1 7:00-22:00,,0,0,0,0,0,
久淘抱石館,986567929,宜蘭縣冬山鄉冬山路二段534號,1,0,0,n.a.,n.a.,n.a.,n.a.,,,0,13:00-22:00,13:00-22:00,0,0,0,0,0,課程預約型
宜蘭運動中心攀岩館,986567929,宜蘭縣宜蘭市公園路66號,1,1,0,n.a.,n.a.,n.a.,600/ 2hr,,,0,n.a.,10:00-12:00,0,0,0,0,0,
嘉義攀岩會館,921213191,嘉義市西區高鐵大道120號,1,0,0,100,n.a.,n.a.,n.a.,,,0,週二及週四 18:30-24:00、週五 19:30-22:00,,0,0,0,0,0,點餐消費送攀岩
嘉義市國民運動中心8a攀岩場,(05)2165788,嘉義市國民運動中心8a攀岩場,1,1,0,n.a.,n.a.,n.a.,50/hr,,,0,6︰00~22︰00,6︰00~22︰00,0,0,0,0,0,
